CÓDIGO ,CALLE ,NÚMERO ,LOCALIDAD ,PROVINCIA ,HORARIOS 
TAE,DUARTE QUIROS,223,CORDOBA,CORDOBA,LUN A VIE 08.00 A 23.00 / SAB 08.00 A 13.00
TAF,ROSSI FEDERICO,371,YERBA BUENA,TUCUMAN,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 12.00
TAG,DEAN FUNES GREGORIO,1471,CORDOBA,CORDOBA,LUN A VIE 09.00 A 22.00 / SAB 10.00 A 15.00
TAI,BELGRANO MANUEL,374,AGUA DE ORO,CORDOBA,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00
TAS,ALBERDI JUAN BAUTISTA,276,BAIGORRITA,BUENOS AIRES,LUN A VIE 08.00 A 12.00 / LUN A VIE 18.00 A 22.00 / SAB 08.00 A 13.00
TAT,VELEZ SARSFIELD,3729,OLAVARRIA,BUENOS AIRES,LUN A VIE 09.30 A 13.00 / LUN A VIE 15.00 A 18.00 / SAB 09.00 A 13.00
TAX,24,0,GENERAL RODRIGUEZ,BUENOS AIRES,LUN A VIE 09.00 A 16.00
TAJ,9 DE JULIO,711,SAN CARLOS DE BARILOCHE,RIO NEGRO,LUN A VIE 08.30 A 20.30 / SAB 09.00 A 20.30
TAL,YRIGOYEN PRESIDENTE HIPOLITO,418,ESQUEL,CHUBUT,LUN A VIE 09.00 A 12.30 / LUN A VIE 15.00 A 19.30 / SAB 09.00 A 13.00
TAM,FUENTES ANA ROSA,560,EL CALAFATE,SANTA CRUZ,LUN A SAB 10.00 A 12.00 / LUN A SAB 17.00 A 21.00
TAN,KENNEDY PRESIDENTE JOHN FITZGERALD,1890,CHOELE CHOEL,RIO NEGRO,LUN A SAB 09.00 A 15.00 / LUN A SAB 17.00 A 24.00
TBC,NECOCHEA GENERAL MARIANO,3382,ROSARIO,SANTA FE,LUN A VIE 09.00 A 13.30 / LUN A VIE 14.30 A 18.30 / SAB 09.00 A 13.00
TBE,CALLE 1 S/N,                              ,LAS CUEVAS,ENTRE RIOS,LUN A VIE 08.00 A 12.00
TBF,LIBERTADOR GENERAL SAN MARTIN,1710,MONTECARLO,MISIONES,LUN A SAB 17.00 A 20.00 / LUN A SAB 07.00 A 12.00
TBH,ALVEAR,1098,VILLA GOBERNADOR GALVEZ,SANTA FE,LUN A VIE 16.00 A 19.30 / LUN A VIE 09.30 A 13.00
TBI,SAN MARTIN,2374,VILLA GOBERNADOR GALVEZ,SANTA FE,LUN A VIE 16.00 A 19.30 / LUN A VIE 09.30 A 13.00
TBJ,CAÑADA DE GOMEZ,4821,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 13.00 / LUN A VIE 15.30 A 19.00 / SAB 09.00 A 13.00
TBK,PARANA,1130,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 19.00
TBL,ALVEAR MARCELO T DE,1615,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MIERCOLES 11.30 A 20.00 / LUN Y MAR 08.00 A 13.00 / LUN Y MAR 15.00 A 20.00 / JUE Y VIE 08.00 A 13.00
TBM,ALVEAR MARCELO T DE,777,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 15.00
TBN,CORTINA,1967,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 14.00 / LUN A VIE 16.30 A 20.00 / SAB 09.30 A 13.00
TBO,BEIRO FRANCISCO,5449,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.30 A 18.00 / SAB 09.30 A 12.30
TBT,CORDOBA,962,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.00 A 20.00
TBU,DEBUSSY,3105,HURLINGHAM,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 19.00 / SAB 09.00 A 13.00
TBV,ALVEAR GENERAL CARLOS MARIA DE,3045,BENAVIDEZ,BUENOS AIRES,LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 19.30 / SAB 08.00 A 13.00
TBY,ARENALES,33,AVELLANEDA,BUENOS AIRES,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 13.30
TBZ,25 DE MAYO,87,AVELLANEDA,BUENOS AIRES,LUN A VIE 09.00 A 18.00
TCA,SANTA MARIA DE LAS CONCHAS,2322,TIGRE,BUENOS AIRES,LUN A SAB 09.00 A 19.00
TCB,14,2889,BERAZATEGUI,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 14.00
TCL,CAZON DANIEL M,451,TIGRE,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 15.30 A 18.00
TCM,113,2793,BERAZATEGUI,BUENOS AIRES,LUN A VIE 08.30 A 12.00 / LUN A VIE 16.00 A 19.30 / SAB 08.30 A 12.00
TCO,LIBERTADOR GENERAL SAN MARTIN,77,TIGRE,BUENOS AIRES,LUN A VIE 09.00 A 16.00
TCP,LYNCH CORONEL,2136,BANFIELD,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 19.30
TCQ,IRUSTA MAYOR,2945,BELLA VISTA,BUENOS AIRES,LUN A SAB 08.00 A 20.00
TCT,WAST HUGO,67,VIRREY DEL PINO,BUENOS AIRES,LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 20.00
TCU,29 DE SEPTIEMBRE,1992,LANUS ESTE,BUENOS AIRES,LUN A SAB 07.00 A 23.00
TCV,ECHEVERRIA ESTEBAN,408,VILLA SARMIENTO,BUENOS AIRES,LUN A VIE 07.30 A 13.00 / LUN A VIE 16.00 A 18.30
TCW,DASTUGUE INTENDENTE,2715,PASO DEL REY,BUENOS AIRES,LUN A VIE 07.30 A 16.00 / SAB 09.00 A 13.00
TCX,MAIER PROFESOR G,3915,QUILMES OESTE,BUENOS AIRES,LUN A VIE 07.00 A 20.00 / SAB 09.00 A 20.00
TCY,BILBAO,798,MERLO,BUENOS AIRES,LUN A VIE 09.30 A 16.00 / SAB 09.30 A 13.00
TCZ,MITRE PRESIDENTE BARTOLOME,5890,WILDE,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 09.30 A 13.00
TDC,CHACO,1551,LANUS OESTE,BUENOS AIRES,LUN A VIE 09.00 A 17.00
TDG,LAS HERAS GENERAL JUAN GREGORIO DE,392,LOMAS DE ZAMORA,BUENOS AIRES,LUN A SAB 08.00 A 20.00
TDH,ASUNCION,5313,EZPELETA ESTE,BUENOS AIRES,LUN A VIE 16.00 A 20.00 / LUN A VIE 09.30 A 13.00 / SAB 16.00 A 20.00 / SAB 09.30 A 13.00
TDM,MONTE EGMONT,1834,RAFAEL CASTILLO,BUENOS AIRES,LUN A VIE 09.00 A 20.00
TDO,846,2623,SAN FRANCISCO SOLANO,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 10.00 A 14.00
TDQ,ESCRIBANO B,6151,VIRREY DEL PINO,BUENOS AIRES,LUN A VIE 16.00 A 19.00 / LUN A SAB 08.00 A 13.00
TDR,DAVILA ADOLFO LUIS,252,LLAVALLOL,BUENOS AIRES,LUN A VIE 08.00 A 16.30 / SAB 08.00 A 12.00
TDV,BROWN ALMIRANTE GUILLERMO,511,MONTE GRANDE,BUENOS AIRES,LUN A VIE 09.00 A 14.00 / LUN A VIE 15.00 A 18.00
TDX,SOLER GENERAL MIGUEL ESTANISLAO,75,ITUZAINGO,BUENOS AIRES,LUN A VIE 08.30 A 19.00 / SAB 09.00 A 14.00
TDZ,RATTI INTENDENTE CARLOS,1033,ITUZAINGO,BUENOS AIRES,LUN A VIE 09.00 A 18.30 / SAB 09.00 A 13.00
TEF,ALMAGRO,3107,ITUZAINGO,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 14.00
TEG,PAZ GENERAL JOSE MARIA,835,ITUZAINGO,BUENOS AIRES,LUN A VIE 09.00 A 14.00 / LUN A VIE 16.00 A 20.00
TEJ,DE LOS ITALIANOS,4005,PONTEVEDRA,BUENOS AIRES,LUN A SAB 09.00 A 18.00
TEL,MORENO,1878,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 19.00 / SAB 11.00 A 14.00
TEM,ALBERTI,181,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 08.00 A 19.00
TER,INDEPENDENCIA,763,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.30 / SAB 10.00 A 13.00
TES,TRIUNVIRATO,4327,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 16.30
TET,TRIUNVIRATO,4882,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
TEX,BOLIVAR,1400,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 17.00 A 19.00 / LUN A VIE 10.00 A 16.00
TFH,ESPAÑA,753,VILLA DOLORES,CORDOBA,LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 14.00
THY,SAN LORENZO,560,ZARATE,BUENOS AIRES,LUN A VIE 07.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 08.00 A 13.00 / SAB 17.00 A 21.00
TIC,PUEYRREDON DOCTOR HONORIO,4085,VILLA ROSA,BUENOS AIRES,LUN A VIE 08.30 A 16.30 / SAB 08.30 A 12.30
TID,24,0,GENERAL RODRIGUEZ,BUENOS AIRES,LUN A SAB 07.00 A 21.00
TIH,SANGUINETTI,0,NUEVA CALIFORNIA,MENDOZA,MAR Y JUE 09.00 A 13.00 / VIERNES 16.00 A 20.00 / LUN Y MIER 16.00 A 20.00
TIL,SANTA ROSA,0,LA RIOJA,LA RIOJA,LUN A DOM 09.00 A 14.00 / LUN A DOM 18.00 A 23.00
TIM,HERRERA GOBERNADOR JULIO,106,SAN FDO DEL VALLE DE CATAMARCA,CATAMARCA,LUN A VIE 07.00 A 13.00 / LUN A VIE 16.00 A 21.00
TIO,MOLINA GOBERNADOR SAMUEL,630,SAN FDO DEL VALLE DE CATAMARCA,CATAMARCA,LUN A SAB 09.00 A 14.00 / LUN A SAB 18.00 A 22.00
TIQ,BUENOS AIRES,1852,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,LUN A SAB 08.00 A 13.00 / LUN A SAB 18.00 A 21.00
TIS,9,748,JESUS MARIA,CORDOBA,LUN A DOM 10.00 A 21.00
TIT,9,754,JESUS MARIA,CORDOBA,LUN A DOM 10.00 A 21.00
TIV,COLON,81,JESUS MARIA,CORDOBA,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00 / SAB 17.00 A 21.00
TIZ,BAZZINI,1004,VILLA BOSCH,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
TJA,PEREZ GALDOS BENITO,10075,REMEDIOS DE ESCALADA,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
TJC,DE LA UNION,1020,PONTEVEDRA,BUENOS AIRES,LUN A SAB 08.00 A 20.30
TJE,SANTOS VEGA,7196,VILLA BOSCH,BUENOS AIRES,LUN A VIE 09.00 A 12.30 / LUN A VIE 16.00 A 18.30
TJF,MONTEAGUDO DOCTOR BERNARDO DE,1290,VILLA BOSCH,BUENOS AIRES,LUN A VIE 10.00 A 17.00
TJH,PINO,6284,WILDE,BUENOS AIRES,LUN A SAB 09.00 A 13.30 / LUN A SAB 17.00 A 20.30
TJI,66,6447,GUILLERMO E HUDSON,BUENOS AIRES,LUN A SAB 00.05 A 23.59
TJJ,29,744,BERAZATEGUI,BUENOS AIRES,LUN A SAB 17.00 A 19.00 / LUN A SAB 09.00 A 15.00
TJK,7,3267,BERAZATEGUI,BUENOS AIRES,LUN A SAB 08.00 A 18.00
TJL,FRENCH,826,EZEIZA,BUENOS AIRES,LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 20.00
TJM,CONSTITUYENTES,2096,TORTUGUITAS,BUENOS AIRES,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
TJN,ESCALADA DE SAN MARTIN REMEDIOS,225,HAEDO,BUENOS AIRES,LUN A VIE 09.30 A 19.00 / SAB 10.00 A 13.00
TJO,DIAZ GENERAL PEDRO,1171,HURLINGHAM,BUENOS AIRES,LUN A SAB 08.00 A 19.00
TJP,DE LOS INCAS,5100,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 07.00 A 24.00 / SAB 09.00 A 24.00
TJQ,FERREYRA ANDRES,4255,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 17.00
TJR,PEPIRI,605,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 16.00
TJT,RIVADAVIA,9545,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 14.00 / LUN A VIE 16.00 A 20.00
TJU,GONZALEZ ELPIDIO,5206,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.30 A 19.30 / SAB 10.00 A 15.00
TJV,CHORROARIN,800,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 14.00
TJW,INDEPENDENCIA,323,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 00.05 A 23.59
TJX,RIVADAVIA,8830,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 14.00 / LUN A VIE 15.00 A 19.00
TJY,CAMPORA HECTOR,0,EL TRAPICHE,SAN LUIS,LUN A DOM 09.30 A 17.30
TJZ,LAVALLE GENERAL JUAN,295,MENDOZA,MENDOZA,LUN A VIE 09.00 A 18.30
TFB,VIRGEN DE LOURDES,2768,RIVADAVIA,SAN JUAN,LUN A VIE 10.00 A 15.00 / LUN A VIE 18.00 A 21.00 / SAB 10.00 A 13.00
TKA,COLON,850,BELL VILLE,CORDOBA,LUN A VIE 09.00 A 15.30
TKB,SAN MARTIN,68,LA BANDA,SANTIAGO DEL ESTERO,LUN A VIE 08.30 A 13.00 / LUN A VIE 17.30 A 21.30 / SAB 09.00 A 13.00 / SAB 17.30 A 21.30
TKC,SARMIENTO,140,LA COCHA,TUCUMAN,LUN A SAB 08.00 A 12.30 / LUN A SAB 17.00 A 20.30
TKD,PUBLICA B,0,CORDOBA,CORDOBA,LUN A SAB 10.00 A 12.00 / LUN A SAB 17.00 A 20.00
TKE,SARMIENTO,305,SALSIPUEDES,CORDOBA,LUN A VIE 17.00 A 21.00 / LUN A VIE 09.00 A 15.00
TKF,LOPEZ Y PLANES VICENTE,798,SAN RAMON DE LA NUEVA ORAN,SALTA,LUN A VIE 08.00 A 21.00 / SAB 08.00 A 14.00
TFL,LOS PIONEROS,159,PUERTO IGUAZU,MISIONES,LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 20.00
TFR,STORNI ALFONSINA,1270,LA REJA,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 08.00 A 18.00
TFU,BALBIN DOCTOR RICARDO,3160,MERLO,BUENOS AIRES,LUN A VIE 08.00 A 17.00 / SAB 08.00 A 13.00
TGA,ECUADOR,5838,MORENO,BUENOS AIRES,LUN A VIE 10.00 A 19.00 / SAB 10.00 A 13.30
TGE,12 DE OCTUBRE,1206,QUILMES,BUENOS AIRES,LUN A VIE 09.30 A 18.00 / SAB 09.30 A 13.00
TGG,BARANDA ANDRES,1537,QUILMES,BUENOS AIRES,LUN A VIE 16.00 A 19.00 / LUN A SAB 10.00 A 13.00
TGO,CASTRO BARROS PEDRO IGNACIO,395,LANUS OESTE,BUENOS AIRES,LUN A SAB 08.00 A 20.00
TGV,LA CALANDRIA,2814,VILLA ADELINA,BUENOS AIRES,LUN A VIE 07.00 A 13.00 / LUN A VIE 16.30 A 19.30 / SAB 10.00 A 13.00
THB,ESTRADA JOSE MANUEL,2759,PASO DEL REY,BUENOS AIRES,LUN A VIE 08.00 A 13.00 / LUN A VIE 14.00 A 17.00 / SAB 09.00 A 12.00 / SAB 15.00 A 17.00
THC,ALTUBE JOSE,1735,JOSE C PAZ,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 17.00 / SAB 09.00 A 12.00
THF,THAMES JOSE IGNACIO,197,BOULOGNE,BUENOS AIRES,LUN A VIE 09.00 A 18.00
