CÓDIGO ,CALLE ,NÚMERO ,LOCALIDAD ,PROVINCIA ,HORARIOS 
QSP,9 DE JULIO,0,VILLA DOS TRECE,FORMOSA,LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 20.00
QZB,ESPAÑA,1835,BARRANQUERAS,CHACO,LUN A SAB 08.00 A 12.00 / LUN A SAB 17.00 A 20.00
RAZ,FRANCIA,1670,ROSARIO,SANTA FE,LUN A SAB 09.00 A 22.00
RBA,JUNIN,1212,CORRIENTES,CORRIENTES,LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 21.00
RBC,ALFONSIN PRESIDENTE RAUL,3525,CORRIENTES,CORRIENTES,LUN A SAB 10.00 A 22.00
RCM,TERESA DE CALCUTA MADRE,0,MACHAGAI,CHACO,LUN A SAB 08.30 A 12.00 / LUN A SAB 17.00 A 21.00
RCR,3 DE FEBRERO,6,VENADO TUERTO,SANTA FE,LUN A SAB 09.00 A 13.00 / LUN A SAB 16.30 A 20.30
SDC,B LOPEZ 1240,                              ,AREQUITO,SANTA FE,LUN A VIE 08.00 A 15.00
MKM,S/C,0,ORO VERDE,ENTRE RIOS,LUN A VIE 10.00 A 13.00 / LUN A VIE 16.00 A 19.00
NXB,LOS CONDORES 350,                              ,VILLA PEHUENIA,NEUQUEN,LUN A VIE 09.30 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 09.30 A 13.00
NYB,AV DEL TRABAJADOR 709-FARMACIA PIONEROS,                              ,RINCON LAS PERLAS,RIO NEGRO,LUN A VIE 10.00 A 17.00 / SAB 10.00 A 19.00
NZD,CABILDO,2230,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00
ABA,DEAN FUNES GREGORIO,160,SALTA,SALTA,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
ADV,LOPEZ Y PLANES VICENTE,402,SAN RAMON DE LA NUEVA ORAN,SALTA,LUN A VIE 08.00 A 15.00
AEZ,GUEMES GENERAL MARTIN MIGUEL DE,501,TARTAGAL,SALTA,LUN A VIE 08.00 A 16.00
CG2,CAMPOS INTENDENTE ALBERTO MANUEL,1951,GENERAL SAN MARTIN,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CG1,CAZON DANIEL M,1140,TIGRE,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
DHC,DEL LIBERTADOR,1202,VICENTE LOPEZ,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CF2,PARANA,6001,VILLA ADELINA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CGI,LOPEZ VICENTE FIDEL,3044,VILLA GENERAL JOSE TOMAS GUIDO,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CFE,LAPRIDA FRANCISCO NARCISO DE,3586,VILLA MARTELLI,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CGK,PERON EVA,9718,LOMA HERMOSA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CFX,SANTA FE,766,ACASSUSO,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CK1,9 DE JULIO,14,BERNAL ESTE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CFZ,PERON PRESIDENTE JUAN DOMINGO,2579,VICTORIA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CF1,SAN MARTIN GENERAL JOSE DE,2849,FLORIDA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CF6,DE LOS CONSTITUYENTES,532,GENERAL PACHECO,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CGU,REPUBLICA DEL LIBANO,4041,VILLA LYNCH,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CF8,MAIPU,2683,OLIVOS,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CFF,MAIPU,438,FLORIDA,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CG0,CONSTITUCION,555,SAN FERNANDO,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CG4,BELGRANO MANUEL,1398,SAN MIGUEL,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CG3,MORON SENADOR,1090,BELLA VISTA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CFJ,MARADONA DIEGO ARMANDO,2384,BOULOGNE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
BY1,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,1008,HURLINGHAM,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CG6,SAENZ PEÑA ROQUE,5009,JOSE C PAZ,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CF3,ALVEAR ANGEL TORCUATO DE,1539,DON TORCUATO,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CG8,MADERO INGENIERO,1395,DEL VISO,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CF4,25 DE MAYO,2639,LOS POLVORINES,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CG7,PERON TENIENTE GENERAL JUAN DOMINGO,22,TORTUGUITAS,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CJV,MITRE PRESIDENTE BARTOLOME,1899,CRUCESITA,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CJ5,ADROGUE ESTEBAN,1076,ADROGUE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CF9,ALSINA,102,SAN ISIDRO,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CJ9,BELGRANO DOCTOR MANUEL,390,AVELLANEDA,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CK5,15,4751,BERAZATEGUI,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CK6,ESPAÑA,3212,FLORENCIO VARELA,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CIT,YRIGOYEN PRESIDENTE HIPOLITO,2317,GERLI,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CI3,ROSAS BRIGADIER GENERAL JUAN MANUEL DE,6801,ISIDRO CASANOVA,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CJ0,O HIGGINS GENERAL BERNARDO,2055,LANUS ESTE,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CH9,ROSAS BRIGADIER GENERAL JUAN MANUEL DE,691,LOMAS DEL MIRADOR,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CJ1,YRIGOYEN PRESIDENTE HIPOLITO,6133,REMEDIOS DE ESCALADA,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CL0,ALMAFUERTE,3171,SAN JUSTO,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CI4,CROVARA INTENDENTE ESTEBAN JUAN S,3035,LA TABLADA,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CRC,EVITA,13,CIUDAD MADERO,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CJ3,BROWN ALMIRANTE GUILLERMO,3394,TEMPERLEY,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CI9,FARREL JUAN,664,VALENTIN ALSINA,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CK2,12 DE OCTUBRE,2498,QUILMES OESTE,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CK0,MITRE PRESIDENTE BARTOLOME,3317,SARANDI,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CIX,D ELIA CORONEL,1638,LANUS OESTE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CJS,GALICIA,635,PIÑEYRO,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CJX,BRAGADO,6185,WILDE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CK4,CHILE,379,EZPELETA ESTE,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CK3,897,4115,SAN FRANCISCO SOLANO,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CI1,ECHEVERRIA ESTEBAN,6006,GREGORIO DE LAFERRERE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CJO,ROCA,983,BURZACO,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CI7,FRENCH,198,EZEIZA,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CI2,POSAMAY DON LUIS,529,GONZALEZ CATAN,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CJE,ANTARTIDA ARGENTINA,1620,LLAVALLOL,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CJ8,BELGRANO DOCTOR MANUEL,1453,LONGCHAMPS,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CJ4,LOPEZ VICENTE FIDEL,448,MONTE GRANDE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CG9,URQUIZA GENERAL JUSTO JOSE DE,4826,CASEROS,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CH3,IRIGOYEN CORONEL MARTIN DOMINGO,484,CASTELAR,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CHB,RIVADAVIA,12650,CIUDADELA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
BY0,MARCONI INGENIERO GUILLERMO,6595,CIUDAD JARDIN DEL PALOMAR,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CH4,OLAZABAL GENERAL FELIX DE,728,ITUZAINGO,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CH1,RIVADAVIA,16380,HAEDO,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CH6,DEL LIBERTADOR,556,MERLO,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CH8,MITRE BARTOLOME,2402,MORENO,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CH0,RIVADAVIA,14178,RAMOS MEJIA,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CGV,RODRIGUEZ PEÑA,1846,SANTOS LUGARES,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CGY,SANTOS VEGA,6121,VILLA BOSCH,BUENOS AIRES,LUN A VIE 11.00 A 18.00
BI1,51,456,LA PLATA,BUENOS AIRES,LUN A VIE 08.00 A 18.00 / SAB 10.00 A 16.00
BYT,SAN MARTIN,466,CAÑUELAS,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BNB,DORREGO,211,CHASCOMUS,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BJF,NUESTRA SEÑORA DE LA MERCED,110,ENSENADA,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
IHK,29,645,MERCEDES,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
IJA,BELGRANO DOCTOR MANUEL,1101,BRAGADO,BUENOS AIRES,LUN A VIE 08.00 A 15.00 / SAB 08.00 A 13.00
IKQ,ALBERDI JUAN BAUTISTA,57,CHACABUCO,BUENOS AIRES,LUN A VIE 09.00 A 16.00
IIG,BELGRANO MANUEL,7,CHIVILCOY,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BYO,DEL LIBERTADOR GRAL SAN MARTIN,233,GENERAL RODRIGUEZ,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
ICF,SAN MARTIN GENERAL JOSE DE,453,GENERAL VILLEGAS,BUENOS AIRES,LUN A VIE 09.00 A 15.00
IAA,RIVADAVIA,5,JUNIN,BUENOS AIRES,LUN A VIE 08.00 A 15.00 / SAB 09.00 A 14.00
IJV,MITRE BARTOLOME,571,LUJAN,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
IEL,MITRE BARTOLOME,794,9 DE JULIO,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
IDO,RIVAROLA,345,PEHUAJO,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
IDE,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,542,TRENQUE LAUQUEN,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
ILM,MERCED,173,PERGAMINO,BUENOS AIRES,LUN A VIE 09.00 A 14.00 / SAB 09.00 A 14.00
OBJ,SAN MARTIN,274,CAMPANA,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BXT,RIVADAVIA,302,BELEN DE ESCOBAR,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BXP,CASTELAR,974,GARIN,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BXS,LA PLATA,1125,INGENIERO MASCHWITZ,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BXX,LAGRAVE PEDRO,681,PILAR,BUENOS AIRES,LUN A VIE 09.00 A 15.00 / SAB 09.00 A 14.00
IPL,DE LA NACION,175,SAN NICOLAS DE LOS ARROYOS,BUENOS AIRES,LUN A VIE 09.00 A 14.00 / SAB 09.00 A 14.00
IPY,OBLIGADO RAFAEL,58,SAN PEDRO,BUENOS AIRES,LUN A VIE 09.00 A 16.00
IPK,PAGOLA FELIX,35,ZARATE,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BD1,MORENO,34,BAHIA BLANCA,BUENOS AIRES,LUN A VIE 08.00 A 18.00 / SAB 10.00 A 16.00
BBC,MORENO,218,TRES ARROYOS,BUENOS AIRES,LUN A VIE 08.00 A 15.00 / SAB 09.00 A 14.00
BPD,YRIGOYEN HIPOLITO,549,AZUL,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BPV,PAZ GENERAL,2973,OLAVARRIA,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BER,AVELLANEDA,602,PUNTA ALTA,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
DHA,SANTA FE,2052,MARTINEZ,BUENOS AIRES,LUN A VIE 10.00 A 18.00
DJA,YRIGOYEN HIPOLITO,405,QUILMES,BUENOS AIRES,LUN A VIE 10.00 A 18.00
DHB,VELEZ SARSFIELD DOCTOR DALMACIO,4319,MUNRO,BUENOS AIRES,LUN A VIE 11.00 A 18.00
DJB,ALEM LEANDRO NICEFORO,300,LOMAS DE ZAMORA,BUENOS AIRES,LUN A VIE 11.00 A 18.00 / SAB 09.00 A 14.00
CH2,BELGRANO GENERAL MANUEL,252,MORON,BUENOS AIRES,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CIY,ALSINA DOCTOR ADOLFO,658,BANFIELD,BUENOS AIRES,LUN A VIE 11.00 A 18.00
BSM,LURO PEDRO,2460,MAR DEL PLATA,BUENOS AIRES,LUN A VIE 08.00 A 18.00 / SAB 10.00 A 16.00
BSY,ZABALA MONSEÑOR JUAN MARTIN,146,MAR DEL PLATA,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BS2,ACHA GENERAL MARIANO,350,MAR DEL PLATA,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BTD,SARMIENTO DOMINGO FAUSTINO,2726,MAR DEL PLATA,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BTI,19,552,BALCARCE,BUENOS AIRES,LUN A VIE 08.00 A 15.00 / SAB 09.00 A 14.00
BSU,17,1602,MIRAMAR,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BTS,58,3088,NECOCHEA,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BMW,CHIOZZA J C,1660,SAN BERNARDO DEL TUYU,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BNI,ENEAS,51,PINAMAR,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BMQ,4,2037,SAN CLEMENTE DEL TUYU,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BMS,37,226,SANTA TERESITA,BUENOS AIRES,LUN A VIE 09.00 A 16.00
VLG,BUENOS AIRES,762,VILLA GESELL,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
TDL,PINTO GENERAL,623,TANDIL,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BMU,ESPORA CORONEL DE MARINA TOMAS,55,MAR DE AJO,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BQI,74,1342,LA PLATA,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
VCC,PERON TENIENTE GENERAL JUAN DOMINGO,321,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CAC,DE MAYO,770,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAD,CALLAO,131,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAE,PERON TENIENTE GENERAL JUAN DOMINGO,2821,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAF,MEDRANO,66,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CA0,GALLARDO ANGEL,756,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CA2,CARRASCO,31,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAJ,RIVADAVIA,11256,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CAK,ALVAREZ JONTE,5150,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAL,CALLAO,1577,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAM,CURAPALIGUE,815,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CA3,PUEYRREDON,1352,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CA4,CORRIENTES,3702,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CA5,SAN MARTIN,2710,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CAR,HELGUERA,2901,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAS,TERRADA,4675,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAU,IRIGOYEN DOCTOR BERNARDO DE,698,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAV,ENTRE RIOS,452,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAW,SCALABRINI ORTIZ RAUL,176,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CA6,SAN JUAN,3001,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CA7,DIRECTORIO,552,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CAZ,SANTA FE,3882,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CBA,LACROZE FEDERICO,2476,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CB1,CABILDO,2349,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CBD,CABILDO,4576,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CB2,MONROE,3381,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CBF,MONROE,5254,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CBG,BROWN ALMIRANTE,780,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CB3,SALMUN FEIJOO JOSE AARON,575,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CBJ,CASEROS,2459,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CB4,DEL BARCO CENTENERA,2933,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CBM,MARTI JOSE,2995,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CB5,RIESTRA,5719,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CB6,ALBERDI JUAN BAUTISTA,5924,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CBP,DE LOS INCAS,4624,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CBV,URUGUAY,1069,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CBW,RIVADAVIA,5337,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CBX,BRASIL,1153,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CBZ,VIAMONTE,2451,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CCC,PLAZA,3855,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CCG,DEL LIBERTADOR,132,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CCH,LAPRIDA,2128,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CCJ,LOPE DE VEGA,2888,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
DFB,LACROZE FEDERICO,4164,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
DFA,ARTIGAS GENERAL JOSE GERVASIO,40,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00 / SAB 09.00 A 14.00
CB7,PARANA,777,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CFB,PARAGUAY,767,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
CFA,SAN JUAN,1349,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
CDI,DIAZ CORONEL,2190,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 11.00 A 18.00
DAA,SAN MARTIN,801,SAN LUIS,SAN LUIS,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 15.00
DBG,GUILLET LEON,31,VILLA MERCEDES,SAN LUIS,LUN A VIE 08.00 A 15.00
EBR,25 DE MAYO,102,PARANA,ENTRE RIOS,LUN A VIE 08.00 A 15.00 / SAB 08.00 A 14.00
EIK,GALARZA,712,CONCEPCION DEL URUGUAY,ENTRE RIOS,LUN A VIE 08.00 A 15.00
EAU,URQUIZA GENERAL JUSTO JOSE DE,128,GUALEGUAY,ENTRE RIOS,LUN A VIE 08.00 A 15.00
GHU,URQUIZA,1036,GUALEGUAYCHU,ENTRE RIOS,LUN A VIE 08.00 A 15.00
COC,YRIGOYEN PRESIDENTE HIPOLITO,575,CONCORDIA,ENTRE RIOS,LUN A VIE 08.00 A 15.00
EHO,TABENI JAIME,1320,CHAJARI,ENTRE RIOS,LUN A VIE 08.00 A 15.00
EJE,12 DE ABRIL,431,COLON,ENTRE RIOS,LUN A VIE 08.00 A 15.00
EHQ,MORENO DOCTOR MARIANO,921,VILLAGUAY,ENTRE RIOS,LUN A VIE 08.00 A 15.00
FAG,PERON PRESIDENTE JUAN DOMINGO,258,LA RIOJA,LA RIOJA,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 15.00
FCH,GONZALEZ DOCTOR JOAQUIN VICTOR,201,CHILECITO,LA RIOJA,LUN A VIE 08.00 A 15.00
GAL,BUENOS AIRES,252,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,LUN A VIE 08.00 A 17.00 / SAB 08.00 A 13.00
OJW,BELGRANO MANUEL,261,LA BANDA,SANTIAGO DEL ESTERO,LUN A VIE 08.00 A 15.00
HAA,SARMIENTO,102,RESISTENCIA,CHACO,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
HFU,BELGRANO DOCTOR MANUEL,601,PRESIDENCIA ROQUE SAENZ PEÑA,CHACO,LUN A VIE 08.00 A 14.00
JAC,DE LA ROZA JOSE IGNACIO,223,SAN JUAN,SAN JUAN,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 15.00
KAA,SAN MARTIN,761,SAN FDO DEL VALLE DE CATAMARCA,CATAMARCA,LUN A VIE 08.00 A 15.00 / SAB 09.00 A 15.00
LAR,RIVADAVIA BERNARDINO,202,SANTA ROSA,LA PAMPA,LUN A VIE 08.00 A 18.00 / SAB 09.00 A 14.00
GTO,22,653,GENERAL PICO,LA PAMPA,LUN A VIE 09.00 A 17.00
MAK,SAN MARTIN GENERAL JOSE DE,678,MENDOZA,MENDOZA,LUN A VIE 08.00 A 18.00 / SAB 09.00 A 14.00
MAC,PAZ GENERAL GREGORIO,501,MENDOZA,MENDOZA,LUN A VIE 08.30 A 15.30
MCU,25 DE MAYO,389,SAN MARTIN,MENDOZA,LUN A VIE 08.00 A 15.00
MAM,MORENO PERITO FRANCISCO P,50,GODOY CRUZ,MENDOZA,LUN A VIE 08.00 A 18.00 / SAB 09.00 A 14.00
MAZ,AZCUENAGA,160,LUJAN DE CUYO,MENDOZA,LUN A VIE 08.30 A 15.30
MAS,SAN MARTIN GENERAL JOSE DE,335,MAIPU,MENDOZA,LUN A VIE 08.30 A 15.30
MDB,DEL VALLE ARISTOBULO,189,RIVADAVIA,MENDOZA,LUN A VIE 08.00 A 15.00
AFA,SAN LORENZO,69,SAN RAFAEL,MENDOZA,LUN A VIE 09.00 A 16.00
NAA,BOLIVAR GENERAL SIMON,2112,POSADAS,MISIONES,LUN A VIE 08.00 A 16.00 / SAB 08.00 A 14.00
NCR,SAN MARTIN GENERAL JOSE DE,1690,ELDORADO,MISIONES,LUN A VIE 08.00 A 14.00
